user_id,age,income,gender,spending_score,visit_count,age_s,income_s,spending_score_s,visit_count_s,pca1,pca2,cluster,user_vec,pca_vec
U0001,56,6132.0,M,37.0,3,1.3680467824428484,0.25486553544914053,-0.48235346984106453,-0.05391712732436521,0.996895905853905,0.2959146843132725,4,"[1.368047, 0.254866, -0.482353, -0.053917]","[0.996896, 0.295915]"
U0002,46,5851.0,F,75.0,1,0.5475797184852806,0.11399954084047674,0.8263401417055305,-1.2260285908975208,-0.555058712424478,-0.14363622832204234,4,"[0.547580, 0.114000, 0.826340, -1.226029]","[-0.555059, -0.143636]"
U0003,32,5440.0,F,70.0,4,-0.6010741710553141,-0.09203577511739097,0.6541436138704523,0.5321386044622126,-0.4878510071927779,0.437040947105567,2,"[-0.601074, -0.092036, 0.654144, 0.532139]","[-0.487851, 0.437041]"
U0004,25,5766.0,M,18.0,2,-1.1754011158256117,0.07138883072753573,-1.136700275614362,-0.639972859110943,-0.07503600061591269,-1.5996957517658619,3,"[-1.175401, 0.071389, -1.136700, -0.639973]","[-0.075036, -1.599696]"
U0005,38,7644.0,M,85.0,3,-0.10879393268077353,1.0128348729875736,1.1707331973756872,-0.05391712732436521,-0.05017279852260446,0.29527823194332725,2,"[-0.108794, 1.012835, 1.170733, -0.053917]","[-0.050173, 0.295278]"
U0006,56,4326.0,F,42.0,6,1.3680467824428484,-0.6504867288328767,-0.3101569420059862,1.7042500680353683,0.9333685512561579,1.7665231677709838,1,"[1.368047, -0.650487, -0.310157, 1.704250]","[0.933369, 1.766523]"
U0007,36,8360.0,M,99.0,5,-0.2728873454722871,1.3717674428801119,1.6528834753139063,1.1181943362487905,0.25118036075469174,1.1667615388657568,2,"[-0.272887, 1.371767, 1.652883, 1.118194]","[0.251180, 1.166762]"
U0008,40,4914.0,F,41.0,1,0.055299480110740026,-0.3557208753457083,-0.3445962475730019,-1.2260285908975208,-0.4389809494499625,-0.8866018952967829,4,"[0.055299, -0.355721, -0.344596, -1.226029]","[-0.438981, -0.886602]"
U0009,28,6968.0,F,38.0,2,-0.9292609966383413,0.6739544019717133,-0.44791416427404884,-0.639972859110943,0.04534421997117093,-1.2597879391231008,3,"[-0.929261, 0.673954, -0.447914, -0.639973]","[0.045344, -1.259788]"
U0010,28,7917.0,F,34.0,3,-0.9292609966383413,1.1496904478209018,-0.5856713865421115,-0.05391712732436521,0.6235322019108881,-1.0554951342557435,3,"[-0.929261, 1.149690, -0.585671, -0.053917]","[0.623532, -1.055495]"
U0011,41,7392.0,F,17.0,3,0.1373461865064968,0.8865066500645014,-1.1711395811813776,-0.05391712732436521,1.233858799556572,-0.7994029870952919,1,"[0.137346, 0.886507, -1.171140, -0.053917]","[1.233859, -0.799403]"
