user_id,embedding
U0001,"[0.999840, 0.275292]"
U0002,"[-0.557376, -0.111222]"
U0003,"[-0.477974, 0.436915]"
U0004,"[-0.114326, -1.600272]"
U0005,"[-0.043405, 0.297104]"
U0006,"[0.969606, 1.722562]"
U0007,"[0.259497, 1.164121]"
U0008,"[-0.460008, -0.862461]"
U0009,"[0.014501, -1.260082]"
U0010,"[0.595939, -1.078073]"
U0011,"[1.210377, -0.833055]"
U0012,"[0.833606, 0.182765]"
U0013,"[1.486729, -0.922632]"
U0014,"[-1.155633, 1.250591]"
U0015,"[0.005875, 0.727455]"
U0016,"[-0.946745, 2.096661]"
U0017,"[-2.716712, -1.023709]"
U0018,"[0.746335, -0.532717]"
U0019,"[-0.562309, 1.111063]"
U0020,"[1.761930, -0.149413]"
U0021,"[0.293080, -2.677299]"
U0022,"[-1.598156, 1.442197]"
U0023,"[1.292237, -0.581524]"
U0024,"[-1.280481, 0.004489]"
U0025,"[1.741391, 0.628767]"
U0026,"[-0.523154, -0.133097]"
U0027,"[-0.150057, 1.870294]"
U0028,"[0.727305, 0.686420]"
U0029,"[0.238474, 0.548367]"
U0030,"[0.567896, -1.459873]"
U0031,"[-0.272569, -1.533814]"
U0032,"[-0.539885, 0.002427]"
U0033,"[-1.112105, 2.106065]"
U0034,"[-0.349649, -0.588542]"
U0035,"[-0.131774, -0.121902]"
U0036,"[-0.676957, -0.788949]"
U0037,"[1.462859, 0.143340]"
U0038,"[0.387450, -0.392972]"
U0039,"[-0.307492, 0.648340]"
U0040,"[-0.259912, -0.260715]"
U0041,"[-1.555642, -0.763751]"
U0042,"[-0.974707, -1.455934]"
U0043,"[-0.665134, -0.797375]"
U0044,"[-0.409533, -0.294957]"
U0045,"[0.919579, -0.882449]"
U0046,"[1.436805, -0.781432]"
U0047,"[-1.004133, -1.503313]"
U0048,"[1.097428, -1.703009]"
U0049,"[0.397531, -0.167872]"
U0050,"[0.300289, 0.406617]"
U0051,"[-0.567947, 0.217288]"
U0052,"[0.993575, 2.677259]"
U0053,"[-0.552686, 0.682315]"
U0054,"[-1.102246, 0.429464]"
U0055,"[0.378633, -0.763680]"
